Date/Time,Latitude,Longitude,PPPP [hPa],TTT [°C],Tilt [deg],Compass bearing [deg],QF pos
2019-10-29 02:00:00,85.64732,125.4616,1029,-12.9375,3,183,0
2019-10-29 02:30:00,85.648973,125.441546,1029,-13.5,3,183,0
2019-10-29 03:00:00,85.650586,125.422733,1029,-13.6875,3,185,0
2019-10-29 03:30:00,85.65212,125.404546,1029,-13.875,2,182,0
2019-10-29 04:00:00,85.65356,125.386973,1029,-14.0625,3,185,0
2019-10-29 04:30:00,85.654986,125.36992,1029,-14.375,3,184,0
2019-10-29 05:00:00,85.656346,125.353093,1029,-14.75,3,184,0
2019-10-29 05:30:00,85.657666,125.335826,1029,-15.3125,3,184,0
2019-10-29 06:00:00,85.658973,125.318226,1029,-16.1875,3,184,0
2019-10-29 06:30:00,85.6602,125.2994,1029,-17.0,3,185,0
2019-10-29 07:00:00,85.66144,125.279253,1029,-17.6875,3,183,0
2019-10-29 07:30:00,85.66268,125.258013,1029,-18.1875,3,186,0
2019-10-29 08:00:00,85.663933,125.235546,1029,-18.5625,3,185,0
2019-10-29 08:30:00,85.66524,125.212213,1029,-18.6875,3,185,0
2019-10-29 09:00:00,85.666573,125.18812,1029,-17.3125,3,183,0
2019-10-29 09:30:00,85.667933,125.1632,1029,-18.3125,3,185,0
2019-10-29 10:00:00,85.669386,125.137693,1029,-18.8125,3,185,0
2019-10-29 10:30:00,85.670893,125.111346,1029,-19.125,3,186,0
2019-10-29 11:00:00,85.67248,125.084386,1029,-19.1875,3,184,0
2019-10-29 11:30:00,85.674106,125.058026,1029,-19.5625,3,186,0
2019-10-29 12:00:00,85.6758,125.032066,1029,-19.8125,3,187,0
2019-10-29 12:30:00,85.677493,125.007226,1029,-20.125,3,186,0
2019-10-29 13:00:00,85.679146,124.983973,1029,-20.375,3,185,0
2019-10-29 13:30:00,85.680826,124.96224,1029,-20.4375,3,186,0
2019-10-29 14:00:00,85.68244,124.941666,1029,-20.5625,3,187,0
2019-10-29 14:30:00,85.683986,124.92228,1029,-20.875,3,186,0
2019-10-29 15:00:00,85.68548,124.904133,1029,-20.625,3,187,0
