datetime,Compass bearing [deg],data_gap_minutes
2020-04-04 12:30:00,44.0026,15.0
2020-04-04 13:00:00,44.0143,30.0
2020-04-04 13:30:00,41.00965,30.0
2020-04-04 14:00:00,41.99411,30.0
2020-04-04 14:30:00,41.98883,30.0
2020-04-04 15:00:00,43.02703,30.0
2020-04-04 15:30:00,37.01847,30.0
2020-04-04 16:00:00,41.92443,30.0
2020-04-04 16:30:00,49.00417,30.0
2020-04-04 17:00:00,42.05636,30.0
2020-04-04 17:30:00,39.98128,30.0
2020-04-04 18:00:00,41.04241,30.0
2020-04-04 18:30:00,33.98671,30.0
2020-04-04 19:00:00,41.98656,30.0
2020-04-04 19:30:00,36.01688,30.0
2020-04-04 20:00:00,41.94809,30.0
2020-04-04 20:30:00,43.02652,30.0
2020-04-04 21:00:00,38.03808,30.0
2020-04-04 21:30:00,36.96189,30.0
2020-04-04 22:00:00,42.99895,30.0
2020-04-04 22:30:00,38.01813,30.0
2020-04-04 23:00:00,41.95828,30.0
2020-04-04 23:30:00,44.00956,30.0
2020-04-05 00:00:00,42.00274,30.0
2020-04-05 00:30:00,43.9802,30.0
2020-04-05 01:00:00,45.98314,30.0
2020-04-05 01:30:00,46.04023,30.0
2020-04-05 02:00:00,39.99485,30.0
2020-04-05 02:30:00,44.03093,30.0
2020-04-05 03:00:00,35.004,30.0
2020-04-05 03:30:00,42.98166,30.0
2020-04-05 04:00:00,37.99702,30.0
2020-04-05 04:30:00,44.98574,30.0
2020-04-05 05:00:00,39.03432,30.0
2020-04-05 05:30:00,39.01806,30.0
2020-04-05 06:00:00,34.00919,30.0
2020-04-05 06:30:00,38.94697,30.0
2020-04-05 07:00:00,42.01704,30.0
2020-04-05 07:30:00,38.98834,30.0
2020-04-05 08:00:00,43.00873,30.0
2020-04-05 08:30:00,35.06791,30.0
2020-04-05 09:00:00,33.93089,30.0
2020-04-05 09:30:00,46.93107,30.0
2020-04-05 10:00:00,48.016,30.0
2020-04-05 10:30:00,46.02773,30.0
2020-04-05 11:00:00,41.03587,30.0
2020-04-05 11:30:00,37.0417,30.0
2020-04-05 12:00:00,32.99511,30.0
2020-04-05 12:30:00,37.95901,30.0
2020-04-05 13:00:00,40.00498,30.0
2020-04-05 13:30:00,38.02035,30.0
2020-04-05 14:00:00,38.93751,30.0
2020-04-05 14:30:00,46.04403,30.0
2020-04-05 15:00:00,33.99961,30.0
2020-04-05 15:30:00,47.91555,30.0
2020-04-05 16:00:00,45.08392,30.0
2020-04-05 16:30:00,38.00378,30.0
2020-04-05 17:00:00,41.97866,30.0
2020-04-05 17:30:00,39.05697,30.0
2020-04-05 18:00:00,33.97978,30.0
2020-04-05 18:30:00,42.93313,30.0
2020-04-05 19:00:00,46.00661,30.0
2020-04-05 19:30:00,44.01619,30.0
2020-04-05 20:00:00,41.04512,30.0
2020-04-05 20:30:00,35.98964,30.0
2020-04-05 21:00:00,41.97328,30.0
2020-04-05 21:30:00,40.01535,30.0
2020-04-05 22:00:00,40.98742,30.0
2020-04-05 22:30:00,40.03462,30.0
2020-04-05 23:00:00,34.03653,30.0
2020-04-05 23:30:00,32.9835,30.0
2020-04-06 00:00:00,36.96037,30.0
2020-04-06 00:30:00,40.98836,30.0
2020-04-06 01:00:00,38.06161,30.0
2020-04-06 01:30:00,31.97466,30.0
2020-04-06 02:00:00,42.92106,30.0
2020-04-06 02:30:00,45.01511,30.0
2020-04-06 03:00:00,42.03557,30.0
2020-04-06 03:30:00,37.02891,30.0
2020-04-06 04:00:00,35.01266,30.0
2020-04-06 04:30:00,33.99062,30.0
2020-04-06 05:00:00,36.97893,30.0
2020-04-06 05:30:00,37.99998,30.0
2020-04-06 06:00:00,36.04395,30.0
2020-04-06 06:30:00,32.93648,30.0
2020-04-06 07:00:00,44.00903,30.0
2020-04-06 07:30:00,32.04215,30.0
2020-04-06 08:00:00,38.94246,30.0
2020-04-06 08:30:00,39.02342,30.0
2020-04-06 09:00:00,37.987,30.0
2020-04-06 09:30:00,40.00578,30.0
2020-04-06 10:00:00,35.05861,30.0
2020-04-06 10:30:00,32.92365,30.0
2020-04-06 11:00:00,46.96768,30.0
2020-04-06 11:30:00,41.00679,30.0
2020-04-06 12:00:00,45.05155,30.0
2020-04-06 12:30:00,31.01709,30.0
2020-04-06 13:00:00,43.90832,30.0
2020-04-06 13:30:00,44.04396,30.0
2020-04-06 14:00:00,40.00843,30.0
2020-04-06 14:30:00,40.99322,30.0
2020-04-06 15:00:00,40.01832,30.0
2020-04-06 15:30:00,39.95397,30.0
2020-04-06 16:00:00,47.96827,30.0
2020-04-06 16:30:00,45.05112,30.0
2020-04-06 17:00:00,40.99041,30.0
2020-04-06 17:30:00,44.98869,30.0
2020-04-06 18:00:00,41.05337,30.0
2020-04-06 18:30:00,36.98447,30.0
2020-04-06 19:00:00,43.94073,30.0
2020-04-06 19:30:00,47.01855,30.0
2020-04-06 20:00:00,42.03237,30.0
2020-04-06 20:30:00,39.04765,30.0
2020-04-06 21:00:00,33.96552,30.0
2020-04-06 21:30:00,42.99948,30.0
2020-04-06 22:00:00,35.98699,30.0
2020-04-06 22:30:00,45.98563,30.0
2020-04-06 23:00:00,35.09004,30.0
2020-04-06 23:30:00,31.98232,30.0
2020-04-07 00:00:00,34.98177,30.0
2020-04-07 00:30:00,36.9719,30.0
2020-04-07 01:00:00,40.00666,30.0
2020-04-07 01:30:00,37.97529,30.0
2020-04-07 02:00:00,44.97715,30.0
2020-04-07 02:30:00,42.02097,30.0
2020-04-07 03:00:00,41.03266,30.0
2020-04-07 03:30:00,36.96453,30.0
2020-04-07 04:00:00,47.94861,30.0
2020-04-07 04:30:00,45.05546,30.0
2020-04-07 05:00:00,41.98436,30.0
2020-04-07 05:30:00,44.0351,30.0
2020-04-07 06:00:00,36.01343,30.0
2020-04-07 06:30:00,41.96038,30.0
2020-04-07 07:00:00,41.02712,30.0
2020-04-07 07:30:00,39.97781,30.0
2020-04-07 08:00:00,43.99207,30.0
2020-04-07 08:30:00,42.00406,30.0
2020-04-07 09:00:00,43.01506,30.0
2020-04-07 09:30:00,38.02794,30.0
2020-04-07 10:00:00,37.99073,30.0
2020-04-07 10:30:00,39.96284,30.0
2020-04-07 11:00:00,43.04143,30.0
2020-04-07 11:30:00,34.9861,30.0
2020-04-07 12:00:00,45.94401,30.0
2020-04-07 12:30:00,43.03376,30.0
2020-04-07 13:00:00,41.03404,30.0
2020-04-07 13:30:00,35.99288,30.0
2020-04-07 14:00:00,41.97308,30.0
2020-04-07 14:30:00,40.99685,30.0
2020-04-07 15:00:00,43.99356,30.0
2020-04-07 15:30:00,41.02975,30.0
2020-04-07 16:00:00,39.98906,30.0
2020-04-07 16:30:00,41.99324,30.0
2020-04-07 17:00:00,41.01409,30.0
2020-04-07 17:30:00,39.0202,30.0
2020-04-07 18:00:00,37.9753,30.0
2020-04-07 18:30:00,42.98637,30.0
2020-04-07 19:00:00,39.05427,30.0
2020-04-07 19:30:00,34.00678,30.0
2020-04-07 20:00:00,36.9685,30.0
2020-04-07 20:30:00,37.04913,30.0
2020-04-07 21:00:00,29.02021,30.0
2020-04-07 21:30:00,33.94237,30.0
2020-04-07 22:00:00,37.02329,30.0
2020-04-07 22:30:00,31.03284,30.0
2020-04-07 23:00:00,30.98549,30.0
2020-04-07 23:30:00,31.99816,30.0
2020-04-08 00:00:00,33.95105,30.0
2020-04-08 00:30:00,39.03486,30.0
2020-04-08 01:00:00,29.02348,30.0
2020-04-08 01:30:00,36.92114,30.0
2020-04-08 02:00:00,39.05755,30.0
2020-04-08 02:30:00,28.06016,30.0
2020-04-08 03:00:00,30.90695,30.0
2020-04-08 03:30:00,41.99089,30.0
2020-04-08 04:00:00,33.0792,30.0
2020-04-08 04:30:00,30.95022,30.0
2020-04-08 05:00:00,38.98172,30.0
2020-04-08 05:30:00,36.00425,30.0
2020-04-08 06:00:00,39.00255,30.0
2020-04-08 06:30:00,35.98512,30.0
2020-04-08 07:00:00,41.98882,30.0
2020-04-08 07:30:00,37.03429,30.0
2020-04-08 08:00:00,37.96843,30.0
2020-04-08 08:30:00,40.99902,30.0
2020-04-08 09:00:00,38.0344,30.0
2020-04-08 09:30:00,35.0036,30.0
2020-04-08 10:00:00,37.95321,30.0
2020-04-08 10:30:00,43.97434,30.0
2020-04-08 11:00:00,42.05464,30.0
2020-04-08 11:30:00,35.99304,30.0
2020-04-08 12:00:00,41.97536,30.0
2020-04-08 12:30:00,40.01073,30.0
2020-04-08 13:00:00,42.95927,30.0
2020-04-08 13:30:00,46.01307,30.0
2020-04-08 14:00:00,42.01403,30.0
2020-04-08 14:30:00,43.00262,30.0
2020-04-08 15:00:00,41.97514,30.0
2020-04-08 15:30:00,45.05089,30.0
2020-04-08 16:00:00,34.98229,30.0
2020-04-08 16:30:00,46.97725,30.0
2020-04-08 17:00:00,38.03491,30.0
2020-04-08 17:30:00,42.97754,30.0
2020-04-08 18:00:00,40.00079,30.0
2020-04-08 18:30:00,43.01889,30.0
2020-04-08 19:00:00,36.99201,30.0
2020-04-08 19:30:00,44.96892,30.0
2020-04-08 20:00:00,39.08313,30.0
2020-04-08 20:30:00,31.02486,30.0
2020-04-08 21:00:00,36.86663,30.0
2020-04-08 21:30:00,52.99711,30.0
2020-04-08 22:00:00,41.04965,30.0
2020-04-08 22:30:00,45.00707,30.0
2020-04-08 23:00:00,37.01653,30.0
2020-04-08 23:30:00,44.9297,30.0
2020-04-09 00:00:00,48.98395,30.0
2020-04-09 00:30:00,49.04042,30.0
2020-04-09 01:00:00,42.01641,30.0
2020-04-09 01:30:00,44.01312,30.0
2020-04-09 02:00:00,40.957,30.0
2020-04-09 02:30:00,52.95252,30.0
2020-04-09 03:00:00,47.08965,30.0
2020-04-09 03:30:00,39.01516,30.0
2020-04-09 04:00:00,40.99151,30.0
2020-04-09 04:30:00,39.99492,30.0
2020-04-09 05:00:00,44.93655,30.0
2020-04-09 05:30:00,50.02739,30.0
2020-04-09 06:00:00,42.0289,30.0
2020-04-09 06:30:00,44.97758,30.0
2020-04-09 07:00:00,44.99025,30.0
2020-04-09 07:30:00,47.99195,30.0
2020-04-09 08:00:00,45.04086,30.0
2020-04-09 08:30:00,40.0309,30.0
2020-04-09 09:00:00,38.97624,30.0
2020-04-09 09:30:00,43.96994,30.0
2020-04-09 10:00:00,44.01843,30.0
2020-04-09 10:30:00,42.00062,30.0
2020-04-09 11:00:00,43.00298,30.0
2020-04-09 11:30:00,41.01026,30.0
2020-04-09 12:00:00,41.00302,30.0
2020-04-09 12:30:00,40.00081,30.0
2020-04-09 13:00:00,40.01727,30.0
2020-04-09 13:30:00,36.99953,30.0
2020-04-09 14:00:00,40.96239,30.0
2020-04-09 14:30:00,41.0568,30.0
2020-04-09 15:00:00,33.97248,30.0
2020-04-09 15:30:00,43.98636,30.0
2020-04-09 16:00:00,34.07846,30.0
2020-04-09 16:30:00,33.93493,30.0
2020-04-09 17:00:00,42.97344,30.0
2020-04-09 17:30:00,40.02913,30.0
2020-04-09 18:00:00,40.95443,30.0
2020-04-09 18:30:00,46.97856,30.0
2020-04-09 19:00:00,44.05659,30.0
2020-04-09 19:30:00,38.00453,30.0
2020-04-09 20:00:00,41.97378,30.0
2020-04-09 20:30:00,41.02947,30.0
2020-04-09 21:00:00,37.02446,30.0
2020-04-09 21:30:00,38.92045,30.0
2020-04-09 22:00:00,48.04112,30.0
