Deployment Leg,Sensor ID,DN Station ID,IMEI,Deployment Date,Deployment Datetime,First Data Datetime,Last Data Datetime,Active,Sampling Frequency (hh:mm),Re-deployed As,Formerly Deployed As,Buoy Type,Manufacturer,Model,PI,Data Authors
1,2019P122,P045,300234066080220,2019-10-09,2019-10-09 02:58:00,2019-10-09 03:00:00,2020-02-01 12:00:00,0,01:00,,,SVP,MetOcean Telematics,SVP-I-BXGS-AP,Hoppmann; EUMETNET,Mario Hoppmann; Gilbert Emzivat; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019P184,P046,300234066318290,2019-09-30,2019-09-30 12:00:00,2019-10-01 03:00:16,2021-02-10 22:00:18,0,00:30,,,SVP,PacificGyre IT,Universal Tracker,Hutchings,Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Hans Jakob Belter; Vladimir Bessonov; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Thomas Krumpen
1,2019P90,P048,300234067608220,2019-10-07,2019-10-07 06:32:00,2019-10-07 08:40:24,2020-11-12 22:34:55,0,00:10,,,SVP,PacificGyre IT,SVP-B,Haas,Mario Hoppmann; Christian Haas; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019P88,P049,300234067509680,2019-10-07,2019-10-07 01:15:00,2019-10-07 01:50:25,2020-03-06 21:33:30,0,00:10,,,SVP,PacificGyre IT,SVP-B,Haas,Mario Hoppmann; Christian Haas; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019P91,P050,300234067700680,2019-10-07,2019-10-07 06:14:00,2019-10-07 08:10:25,2020-04-15 15:50:27,0,00:10,,,SVP,PacificGyre IT,SVP-B,Haas,Mario Hoppmann; Christian Haas; Hans Jakob Belter; Vladimir Bessonov; Jennifer Hutchings; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Daniel Watkins; Thomas Krumpen
1,2019P183,P051,300234066253880,2019-10-21,2019-10-21 05:39:00,2019-10-21 06:00:44,2020-02-05 16:00:18,0,00:30,,,SVP,PacificGyre IT,Universal Tracker,Hutchings,Jennifer Hutchings; Daniel Watkins; Mario Hoppmann; Hans Jakob Belter; Vladimir Bessonov; Ruibo Lei; Anne Morgenstern; Tomasz Petrovsky; Jan Rohde; Vasily Smolyanitsky; Vladimir Sokolov; Anna Timofeeva; Thomas Krumpen
1,2019P150,P052,300234068314190,2019-10-21,2019-10-21 05:58:00,2019-10-21 06:00:00,2020-04-26 08:00:00,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,2019P151,P053,300234068318250,2019-10-21,2019-10-21 06:08:00,2019-10-21 07:00:00,2020-11-11 14:00:01,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,2019P159,P054,300234068215980,2019-10-21,2019-10-21 05:50:00,2019-10-21 06:00:00,2020-10-21 18:59:59,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
1,2019P158,P055,300234068213470,2019-09-30,2019-09-30 08:53:00,2019-09-30 09:00:00,2020-11-11 14:00:01,0,01:00,,,SVP,MetOcean Telematics,SVP-I-XXGS-LP,Lei,Ruibo Lei; Guangyu Zuo; Marcel Nicolaus; Julia Regnery; Mario Hoppmann; Jennifer Hutchings
