datetime,meander,granular_sums,straight_line
2023-08-30 12:00:00,1.6715493379716269,10174.91535161415,6087.116377887532
2023-08-31 12:00:00,1.4731072681895059,12135.324580607594,8237.909650342219
2023-09-01 12:00:00,1.5939025338160873,11237.979683876978,7050.606574400285
2023-09-02 12:00:00,2.066477557784552,11659.988773105466,5642.446359594639
2023-09-03 12:00:00,2.1496228305492675,14798.658898944075,6884.304859733346
2023-09-04 12:00:00,2.058357794181788,16455.776606177198,7994.614275852118
2023-09-05 12:00:00,2.7604651282347223,18619.097465217594,6744.91312162463
2023-09-06 12:00:00,1.1846487429648986,20359.735370371305,17186.305638087837
2023-09-07 12:00:00,1.2189387042251902,26249.503298911823,21534.719676980912
2023-09-08 12:00:00,12.376854150567056,22939.29967835452,1853.403086058305
2023-09-09 12:00:00,2.7932477660404267,23535.439679599014,8425.833170167256
2023-09-10 12:00:00,2.638161702773649,20036.551607581034,7594.891392182471
2023-09-11 12:00:00,2.422884051104229,17389.355503990122,7177.130699285805
2023-09-12 12:00:00,1.561611484907736,14321.055056893394,9170.690146236673
2023-09-13 12:00:00,2.109093156245932,19702.657144950717,9341.767141296095
2023-09-14 12:00:00,2.710892466535586,15783.926116869237,5822.409524432547
2023-09-15 12:00:00,5.225569525898138,13919.211234321905,2663.6735317246707
2023-09-16 12:00:00,1.4508158537029114,19388.72524043681,13364.01528212629
2023-09-17 12:00:00,2.1550091478211706,17418.366548555416,8082.7343893951975
2023-09-18 12:00:00,2.7421152630273133,15083.012608460813,5500.502773107017
2023-09-19 12:00:00,2.1958521940329536,15023.862181257757,6841.927804650903
2023-09-20 12:00:00,2.4355310360967186,13310.620941218693,5465.182230874313
2023-09-21 12:00:00,4.749369513977144,12432.215397054977,2617.655956325913
2023-09-22 12:00:00,1.6425709554421613,9374.48651339968,5707.203382806787
2023-09-23 12:00:00,1.3979518102779342,9512.42939120108,6804.547425214795
2023-09-24 12:00:00,1.0327316219535274,24119.47857590079,23355.030545376445
2023-09-25 12:00:00,1.031515367130916,32175.606859994346,31192.56182240738
2023-09-26 12:00:00,1.0103650745500503,33154.34516252213,32814.22329180062
2023-09-27 12:00:00,1.0502297968628378,22865.095640917054,21771.516775869277
2023-09-28 12:00:00,1.0067920794935656,26999.78029044175,26817.6327966576
2023-09-29 12:00:00,1.0058347159830188,19027.411683310314,18917.036150133783
2023-09-30 12:00:00,1.063910171951713,13232.549452111463,12437.656675315668
2023-10-01 12:00:00,1.0069860892624918,14440.835262638644,14340.650200257476
2023-10-02 12:00:00,1.181494194361952,6355.725397878038,5379.39621557798
2023-10-03 12:00:00,1.178958778476408,4836.35638390534,4102.22687357692
2023-10-04 12:00:00,1.085777237943018,5112.014849463929,4708.161739647934
2023-10-05 12:00:00,1.0057709928437524,10121.927873655663,10063.84947038149
2023-10-06 12:00:00,1.0074366825507761,15008.274358041084,14897.486480282741
2023-10-07 12:00:00,1.0098395725355966,10170.619091846416,10071.519643767875
2023-10-08 12:00:00,1.1614401111910155,11637.728072232794,10020.084514128514
2023-10-09 12:00:00,1.048866815726276,16672.213734449,15895.453535637424
2023-10-10 12:00:00,1.222694429720969,8215.541190953072,6719.210451320973
2023-10-11 12:00:00,1.0352809388745394,5863.812367094289,5663.981772395884
2023-10-12 12:00:00,1.0128924201425178,7023.655595855768,6934.256250893371
2023-10-13 12:00:00,1.0406264995778147,6022.959002171707,5787.8201300997425
2023-10-14 12:00:00,1.00674256275768,6566.1577636048805,6522.181545219258
2023-10-15 12:00:00,1.0075331093879782,8150.657088533894,8089.716370199464
2023-10-16 12:00:00,1.0146444570537785,9192.786730769974,9060.106391812413
2023-10-17 12:00:00,1.0077754851359995,5697.151135313655,5653.194803150846
2023-10-18 12:00:00,4.3215642906430185,2962.211469086288,685.4488953224694
2023-10-19 12:00:00,1.0238909823619957,15291.037098379833,14934.243353823875
2023-10-20 12:00:00,1.0212648025577946,20108.660165999456,19689.95711556551
2023-10-21 12:00:00,1.002137655950869,21104.547386935526,21059.529358679443
2023-10-22 12:00:00,1.0006766570794066,16378.367712198155,16367.292667743808
2023-10-23 12:00:00,1.072629680066137,4648.493525724053,4333.73568913125
2023-10-24 12:00:00,1.0196491294468115,8590.54631264129,8425.00235085956
2023-10-25 12:00:00,1.0295598184262698,10030.915640227839,9742.916789002666
2023-10-26 12:00:00,1.4047936513652794,1874.7475077650352,1334.5358629312004
2023-10-27 12:00:00,1.0463727147381063,8404.235239307782,8031.779805545917
2023-10-28 12:00:00,1.0240918456972765,10266.288513595553,10024.773223934339
2023-10-29 12:00:00,1.0190423481797817,6900.752027337041,6771.801034238859
2023-10-30 12:00:00,1.0336632487024446,12603.588513647388,12193.12820637538
2023-10-31 12:00:00,1.0157994535865518,14399.656630064394,14175.688497589315
2023-11-01 12:00:00,1.012370877193696,12067.670010793121,11920.206598835444
2023-11-02 12:00:00,1.0493963311722476,7758.340190638703,7393.14590701123
2023-11-03 12:00:00,1.0509749572224523,7077.971906702795,6734.6722755494275
2023-11-04 12:00:00,1.0677061801044785,5437.903946629586,5093.071528440034
2023-11-05 12:00:00,1.0365264025772667,11005.571210130936,10617.743245870226
2023-11-06 12:00:00,1.0417590136988177,13692.285349411386,13143.42872906493
2023-11-07 12:00:00,1.0134126729124828,12736.31844020805,12567.751302738981
2023-11-08 12:00:00,1.0276780269051604,17438.7086794724,16969.039157126725
2023-11-09 12:00:00,1.014301790838261,12856.410199145388,12675.133096748572
2023-11-10 12:00:00,1.0249692225600877,5987.978574124108,5842.105735787661
